4,1,-3,1
5,1,-4,1
6,1,-5,1
7,2,-4,1
7,1,-6,1
8,1,-3,1
8,1,-7,1
9,1,-8,1
9,5,-10,2
10,1,-9,1
11,3,-6,1
11,1,-10,1
11,3,-12,4
12,3,-5,1
12,1,-11,1
13,1,-12,1
13,7,-14,2
14,1,-13,1
14,5,-15,3
15,1,-4,1
15,4,-8,1
15,1,-14,1
15,11,-18,3
16,1,-15,1
16,7,-19,5
17,2,-6,1
17,1,-16,1
17,9,-18,2
18,1,-17,1
18,13,-21,3
19,1,-3,1
19,4,-6,1
19,5,-10,1
19,1,-18,1
19,5,-20,4
20,1,-19,1
20,7,-21,3
21,5,-8,1
21,1,-20,1
21,5,-24,9
21,11,-22,2
21,9,-24,5
22,1,-21,1
23,6,-12,1
23,3,-12,2
23,1,-22,1
23,19,-28,4
23,8,-24,3
23,7,-26,7
24,1,-5,1
24,1,-23,1
24,17,-27,3
25,1,-24,1
25,13,-26,2
26,3,-9,1
26,1,-25,1
26,11,-29,5
26,5,-29,11
27,7,-14,1
27,11,-16,2
27,1,-26,1
27,4,-28,7
27,19,-30,3
27,11,-32,8
28,5,-7,1
28,1,-27,1
28,13,-33,7
29,1,-28,1
29,15,-30,2
29,10,-30,3
29,6,-30,5
30,7,-11,1
30,1,-29,1
30,9,-33,7
30,7,-33,9
31,2,-8,1
31,8,-16,1
31,5,-18,5
31,1,-30,1
31,13,-34,5
31,25,-36,4
31,5,-34,13
32,1,-31,1
32,11,-33,3
33,1,-32,1
33,17,-34,2
33,23,-36,3
33,29,-40,5
34,1,-33,1
34,7,-35,5
35,2,-4,1
35,1,-6,1
35,7,-10,1
35,4,-12,1
35,9,-18,1
35,4,-20,7
35,1,-34,1
35,7,-40,16
35,4,-36,9
35,16,-40,7
36,1,-35,1
36,15,-39,5
36,25,-39,3
36,5,-39,15
37,1,-36,1
37,11,-40,7
37,19,-38,2
37,7,-40,11
38,1,-37,1
38,13,-39,3
38,33,-45,5
38,11,-43,11
39,6,-8,1
39,3,-8,2
39,9,-14,1
39,3,-14,3
39,10,-20,1
39,2,-20,5
39,1,-38,1
39,31,-44,4
39,27,-48,8
39,5,-40,8
40,1,-39,1
40,17,-49,13
41,1,-40,1
41,5,-44,17
41,14,-42,3
41,17,-44,5
41,6,-42,7
41,10,-46,13
41,21,-42,2
41,13,-46,10
42,1,-41,1
42,19,-47,7
42,29,-45,3
42,7,-47,19
43,11,-22,1
43,17,-24,2
43,1,-42,1
43,4,-44,11
43,37,-50,5
43,17,-48,8
44,5,-15,1
44,7,-17,3
44,1,-43,1
44,7,-47,13
44,5,-45,9
44,13,-47,7
45,1,-44,1
45,23,-46,2
45,31,-48,3
45,41,-54,6
46,1,-45,1
46,19,-49,5
46,5,-49,19
47,4,-7,1
47,3,-12,1
47,12,-24,1
47,3,-24,4
47,1,-46,1
47,37,-52,4
47,3,-48,16
47,31,-60,12
48,1,-3,1
48,1,-7,1
48,11,-17,1
48,1,-47,1
48,11,-51,9
48,41,-55,5
48,9,-51,11
49,2,-10,1
49,1,-48,1
49,7,-54,22
49,11,-54,14
49,25,-50,2
49,14,-54,11
49,22,-54,7
50,1,-49,1
50,17,-51,3
51,10,-14,1
51,5,-14,2
51,13,-26,1
51,5,-28,8
51,23,-30,3
51,8,-28,5
51,1,-50,1
51,15,-54,7
51,12,-60,23
51,7,-54,15
51,4,-52,13
51,21,-54,5
51,35,-54,3
51,5,-54,21
52,7,-9,1
52,1,-51,1
52,17,-59,13
52,13,-59,17
53,1,-4,1
53,9,-12,1
53,6,-18,1
53,3,-18,2
53,1,-52,1
53,22,-62,13
53,9,-60,25
53,27,-54,2
53,25,-60,9
53,13,-62,22
54,1,-53,1
54,37,-57,3
54,11,-55,5
54,13,-59,13
55,14,-28,1
55,7,-28,2
55,1,-54,1
55,43,-60,4
55,37,-64,8
55,8,-56,7
56,1,-55,1
56,23,-59,5
56,25,-61,7
56,3,-57,19
56,7,-61,25
56,5,-59,23
57,13,-20,1
57,17,-22,2
57,1,-56,1
57,18,-66,17
57,9,-60,13
57,29,-58,2
57,13,-60,9
57,17,-66,18
58,1,-57,1
58,7,-61,17
58,49,-65,5
58,17,-61,7
59,15,-30,1
59,23,-32,2
59,5,-30,3
59,19,-36,6
59,1,-58,1
59,4,-60,15
59,8,-64,23
59,55,-70,7
59,3,-60,20
59,12,-60,5
59,11,-62,11
59,24,-72,19
60,1,-59,1
60,17,-65,11
60,41,-63,3
60,11,-65,17
61,1,-60,1
61,19,-66,10
61,25,-64,5
61,31,-62,2
61,5,-64,25
61,10,-66,19
62,7,-21,1
62,1,-61,1
62,29,-69,9
62,7,-63,9
62,9,-69,29
63,1,-8,1
63,5,-10,2
63,4,-16,1
63,3,-18,7
63,16,-32,1
63,28,-36,3
63,21,-36,4
63,7,-34,7
63,1,-62,1
63,44,-76,11
63,49,-68,4
63,11,-76,44
63,43,-66,3
63,7,-68,28
63,53,-70,5
63,28,-68,7
64,1,-63,1
64,31,-73,11
64,13,-65,5
64,43,-83,17
65,1,-64,1
65,21,-72,13
65,6,-66,11
65,13,-72,21
65,22,-66,3
65,19,-68,7
65,33,-66,2
65,7,-68,19
66,15,-23,1
66,3,-23,5
66,5,-23,3
66,1,-65,1
66,27,-75,13
66,27,-69,5
66,61,-77,7
66,5,-69,27
66,13,-75,27
67,2,-5,1
67,8,-10,1
67,13,-18,1
67,17,-34,1
67,4,-36,13
67,1,-66,1
67,13,-72,16
67,17,-68,4
67,16,-72,13
68,1,-67,1
68,23,-69,3
68,57,-75,5
68,15,-75,19
69,1,-68,1
69,35,-70,2
69,47,-72,3
69,61,-78,6
69,14,-70,5
69,10,-70,7
69,17,-76,17
